Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,"16,1157099193","16,5991984029","19,1057021064","14,2011895001","13,8888937877","11,2582790289","8,4126982115","5,1792826044","6,4724917485","6,4668768149","5,4637940189","5,4611711174","6,5459616861","7,3076922673","8,7628865653","9,7652584272","13,6521736297","12,4153493358","13,8720537625",,,,,,,,,,,,,,,,,,,,,,,,"11,6362388418","16,2197717286","17,4066184393","31,2692431327","34,7140196427","31,8833397082","16,3281666667","15,4134453782","16,2826466916",
Albania,,,,,,,,,,,,,,,,,,,,,"34,5475611032","35,1210117245","37,9170692456","36,0739059337","31,7807390873","32,7521790591","30,9085682831","28,4182478435","28,90404365","31,7220713468","29,3053299101","7,3387588563","5,1999922054","13,1999996667","17,8999995378",21,"20,7020661691","16,7939312298","16,2958485994","19,054110257","24,7358683871","27,5463959344","24,4870285282","23,4356843157","23,8393726034","23,5964352723","25,0464482274","29,7571356607","32,1252125937","28,9691982114","25,9281132299",
Algeria,"42,1845772801","47,1895290151","35,4206132651","28,9406623657","21,8466084202","22,6039435446","17,3241316416","23,4344167518","27,867922212","32,3527365549","36,6490688588","35,2813409566","34,3024910777","40,2841957565","40,0165361388","45,4068268327","43,3502757771","46,9147374798","52,2193525904","42,5459265199","39,0769234337","36,9905947794","37,2832375416","37,5695320976","35,1644228669","34,569169442","33,5559241424","27,5563797889","27,6394833851","30,073234118","28,589419556","31,8413280659","30,7574878567","29,0909077624","30,0801428601","30,9085562439","25,6784123499","22,4469741093","27,1484832463","28,4944558513","25,0242849543","27,3293366135","31,1874163735","30,4722755184","33,2682262752","31,5108681157","29,5018796992","34,2228031583","33,3686498234","46,7","41,4",
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,"17,9640829643","16,1983938582","16,0251339029","11,818002914","12,2045442734","11,7132765115","12,9474753127","3,6176906273","11,1933005533","16,5950396775",,"34,6966641253","25,4678314157","35,5324886134","27,1346765057","15,0530026762","13,4024940564","12,5693546811","12,6637956346","9,112799398","8,0728926734","11,3182214116","13,7211755272","15,9847472711","14,818840624","14,53950825",
Antigua and Barbuda,,,,,,,,,,,,,,,,,,"20,6450529145","19,2964227401","24,292310781","34,7937277071","41,9342379734","39,4394162455","20,4431763596","23,6103995902","27,8058080383","35,6955657308","45,8020913275","39,8379424372","41,2471833087","32,4410729825","37,6102145162","34,7914641309","31,6837724471","32,4038677568","33,980363421","35,3206915632","39,2571546092","43,0464138209","45,1045454545","34,9959504983","27,1782245641","33,8281037237","34,377736716","34,3589028491","35,8857473037","38,0402610073","43,5275355449","24,8768831667","17,7619776219",,
Argentina,"23,4792342349","27,7664470481","21,7309350089","18,2728788168","21,4739126096","22,4276757473","20,5425466285","21,2150357813","21,6904972948","23,9906051999","24,4400952443","24,1130324158","23,8915446197","20,8938115311","22,2603317851","29,4410469592","30,7294395904","30,9416888038","27,8001595709","25,8567694613","25,2577862896","22,6910887216","21,7549479465","20,8877523061","19,9640924493","17,589066918","17,4617642051","19,5548660012","18,6400388972","15,5146982753","13,9969815757","14,6369774112","16,7024057742","19,0564341074","19,9389777996","17,9377365545","18,0821802063","19,3701311038","19,9349541498","18,0140222938","16,1926495496","14,1791198581","11,960642042","15,1375132139","19,1671242347","21,4559367182","23,3539988582","24,2009503505","23,2857738056","20,9206228408","22,0022475152",
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,147684357","39,7791441837","1,6312581769","9,872202692","23,4501370785","18,424489967","20,0062301466","19,0655631329","19,1362639283","18,352317734","18,6435818392","19,757962739","21,6670922413","24,2579306822","24,8783586784","30,4663212389","35,9061314067","37,7825666626","40,871142861","34,6697134723","33,3685796972",
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
